832 YouTube items queued
[1/832] HU-ji79agRc (videos) ok via tv_embedded
[2/832] RJSYhO7lpNU (videos) FAILED
[3/832] IqQl3UZEIu4 (videos) ok via android_vr
[4/832] 994EhMJ6BMc (videos) FAILED
[5/832] g34POITRxiQ (videos) ok via tv_embedded
[6/832] 7GaObN6VAsU (videos) ok via android_vr
[7/832] VevlwoBJNcU (videos) ok via android_vr
[8/832] _4nBhNr2eX8 (videos) FAILED
[9/832] LMQlqGpybxg (videos) ok via android_vr
[10/832] 4eMp3v5tGC0 (videos) ok via tv_embedded
[11/832] lRDdLhFBbCc (videos) ok via tv_embedded
[12/832] 2Kvc76Lhn0c (videos) FAILED
[13/832] vYvIKWWfQbk (videos) ok via tv_embedded
[14/832] UoAEMLNitXs (videos) ok via android_vr
[15/832] LuG_UE4Ad4M (videos) FAILED
[16/832] tpq7kcCum58 (videos) ok via tv_embedded
[17/832] 9nZ_NeEGPl0 (videos) ok via android_vr
[18/832] 4OKj6Ebn1cM (videos) ok via tv_embedded
[19/832] uFcTNHTVglM (videos) ok via tv_embedded
[20/832] BRA9cjkOekg (videos) ok via tv_embedded
[21/832] 0HbVF_Dyd0M (videos) ok via tv_embedded
[22/832] xZtXwSwp-TU (videos) ok via android_vr
[23/832] z6Elh0CIdLo (videos) FAILED
[24/832] kVKedeLmB2Y (videos) ok via tv_embedded
[25/832] K7cJRMn7njs (videos) ok via tv_embedded
[26/832] mA8K-OfWKGw (videos) ok via tv_embedded
[27/832] NBQ05L2xB6Q (videos) FAILED
[28/832] U39hgKHCN54 (videos) FAILED
[29/832] TKwwHGcKFlQ (videos) FAILED
[30/832] rxuzA4OeNUY (videos) FAILED
[31/832] LK7-efM-t9s (videos) FAILED
[32/832] OXyy8sNVsOc (videos) FAILED
[33/832] Td8LLUH7Gso (videos) FAILED
[34/832] gA8cC0VmuAg (videos) FAILED
[35/832] plb8Oe534MA (videos) FAILED
[36/832] XYRtz0zZy-I (videos) FAILED
[37/832] -qd5wOmujG4 (videos) FAILED
[38/832] zGI5JJgke28 (videos) FAILED
[39/832] GFe_tveLQdg (videos) FAILED
[40/832] c8147zhVXRc (videos) FAILED
[41/832] 2Ikt6edg8Os (videos) FAILED
[42/832] xQXqhX05_2M (videos) FAILED
[43/832] GfOUURlj-zE (videos) FAILED
[44/832] pz3gt-_kIEM (videos) FAILED
[45/832] fLIktR1it4E (videos) FAILED
[46/832] E6sfnVjojVA (videos) FAILED
[47/832] GRxBLdl2Nds (videos) FAILED
[48/832] 7NpEPxwxzO0 (videos) FAILED
[49/832] GGfovru_saA (videos) FAILED
[50/832] sQ80oZS2Ua4 (videos) FAILED
[51/832] nSbA8sEvzZw (videos) FAILED
[52/832] R1v-1htzRHk (videos) FAILED
[53/832] tFT6kstvYBw (streams) FAILED
[54/832] 68efHdhhY-Q (streams) FAILED
[55/832] 8jnvsYln_NM (streams) FAILED
[56/832] MIetQV6xQto (streams) FAILED
[57/832] 1gvJMYig9Ms (streams) FAILED
[58/832] ujn2avr266M (streams) FAILED
[59/832] Tg62boj2a38 (streams) FAILED
[60/832] 8zc68v6hen0 (shorts) FAILED
[61/832] 1nOak54K1tI (shorts) FAILED
[62/832] 8OT5IYFYwjk (shorts) FAILED
[63/832] jyUWmRBtHFU (shorts) FAILED
[64/832] iu3yP-xQ4k4 (shorts) FAILED
[65/832] YsrURmrawm8 (shorts) FAILED
[66/832] NHrN-0kvDew (shorts) FAILED
[67/832] 6MNckhBkhmg (shorts) FAILED
[68/832] fGOKRbmIFJM (shorts) FAILED
[69/832] 9IDLozyhKJU (shorts) FAILED
[70/832] n-l8YHfh8mQ (shorts) FAILED
832 YouTube items queued
[2/832] RJSYhO7lpNU (videos) FAILED | delay=30s
[4/832] 994EhMJ6BMc (videos) FAILED | delay=60s
[8/832] _4nBhNr2eX8 (videos) FAILED | delay=120s
[12/832] 2Kvc76Lhn0c (videos) FAILED | delay=240s
832 YouTube items queued
[2/832] RJSYhO7lpNU (videos) ok via tv_embedded | delay=15s
[4/832] 994EhMJ6BMc (videos) ok via tv_embedded | delay=15s
[8/832] _4nBhNr2eX8 (videos) ok via tv_embedded | delay=15s
[12/832] 2Kvc76Lhn0c (videos) ok via tv_embedded | delay=15s
[15/832] LuG_UE4Ad4M (videos) ok via tv_embedded | delay=12s
[23/832] z6Elh0CIdLo (videos) ok via tv_embedded | delay=12s
[27/832] NBQ05L2xB6Q (videos) ok via tv_embedded | delay=12s
[28/832] U39hgKHCN54 (videos) ok via tv_embedded | delay=12s
[29/832] TKwwHGcKFlQ (videos) ok via tv_embedded | delay=12s
[30/832] rxuzA4OeNUY (videos) ok via tv_embedded | delay=10s
[31/832] LK7-efM-t9s (videos) ok via tv_embedded | delay=10s
[32/832] OXyy8sNVsOc (videos) ok via tv_embedded | delay=10s
[33/832] Td8LLUH7Gso (videos) FAILED | delay=20s
[34/832] gA8cC0VmuAg (videos) ok via tv_embedded | delay=20s
[35/832] plb8Oe534MA (videos) FAILED | delay=40s
[36/832] XYRtz0zZy-I (videos) FAILED | delay=80s
[37/832] -qd5wOmujG4 (videos) ok via tv_embedded | delay=80s
[38/832] zGI5JJgke28 (videos) ok via tv_embedded | delay=80s
[39/832] GFe_tveLQdg (videos) ok via tv_embedded | delay=80s
[40/832] c8147zhVXRc (videos) FAILED | delay=160s
[41/832] 2Ikt6edg8Os (videos) ok via tv_embedded | delay=160s
[42/832] xQXqhX05_2M (videos) FAILED | delay=320s
[43/832] GfOUURlj-zE (videos) ok via tv_embedded | delay=320s
[44/832] pz3gt-_kIEM (videos) ok via tv_embedded | delay=320s
832 YouTube items queued
[33/832] Td8LLUH7Gso (videos) ok via tv_embedded | delay=12s
[35/832] plb8Oe534MA (videos) ok via tv_embedded | delay=10s
[36/832] XYRtz0zZy-I (videos) ok via tv_embedded | delay=8s
[40/832] c8147zhVXRc (videos) FAILED | delay=20s
[42/832] xQXqhX05_2M (videos) ok via android_vr | delay=16s
[45/832] fLIktR1it4E (videos) ok via android_vr | delay=13s
[46/832] E6sfnVjojVA (videos) ok via android_vr | delay=8s
[47/832] GRxBLdl2Nds (videos) ok via android_vr | delay=8s
[48/832] 7NpEPxwxzO0 (videos) ok via android_vr | delay=8s
[49/832] GGfovru_saA (videos) ok via tv_embedded | delay=8s
[50/832] sQ80oZS2Ua4 (videos) ok via tv_embedded | delay=8s
[51/832] nSbA8sEvzZw (videos) FAILED | delay=20s
[52/832] R1v-1htzRHk (videos) ok via android_vr | delay=16s
[53/832] tFT6kstvYBw (streams) FAILED | delay=32s
[54/832] 68efHdhhY-Q (streams) FAILED | delay=64s
[55/832] 8jnvsYln_NM (streams) ok via tv_embedded | delay=51s
[56/832] MIetQV6xQto (streams) ok via tv_embedded | delay=41s
[57/832] 1gvJMYig9Ms (streams) FAILED | delay=82s
[58/832] ujn2avr266M (streams) ok via tv_embedded | delay=66s
[59/832] Tg62boj2a38 (streams) ok via tv_embedded | delay=52s
[60/832] 8zc68v6hen0 (shorts) ok via android_vr | delay=26s
[61/832] 1nOak54K1tI (shorts) ok via tv_embedded | delay=13s
[62/832] 8OT5IYFYwjk (shorts) ok via tv_embedded | delay=8s
[63/832] jyUWmRBtHFU (shorts) ok via tv_embedded | delay=8s
[64/832] iu3yP-xQ4k4 (shorts) ok via tv_embedded | delay=8s
[65/832] YsrURmrawm8 (shorts) ok via tv_embedded | delay=8s
[66/832] NHrN-0kvDew (shorts) ok via tv_embedded | delay=8s
[67/832] 6MNckhBkhmg (shorts) ok via tv_embedded | delay=8s
[68/832] fGOKRbmIFJM (shorts) FAILED | delay=20s
[69/832] 9IDLozyhKJU (shorts) FAILED | delay=40s
[70/832] n-l8YHfh8mQ (shorts) ok via tv_embedded | delay=32s
[71/832] lRa9LM_L58w (shorts) ok via tv_embedded | delay=26s
[72/832] 5bFKrFCwbOI (shorts) FAILED | delay=51s
[73/832] oJ-HFF0bqMI (shorts) ok via tv_embedded | delay=41s
[74/832] GfPQFBjUIjw (shorts) ok via tv_embedded | delay=33s
[75/832] gnxs9iHTINU (shorts) ok via android_vr | delay=16s
[76/832] IpWPYvB9CEY (shorts) ok via tv_embedded | delay=8s
[77/832] MokoBg0Ep1Q (shorts) ok via android_vr | delay=8s
[78/832] E3L9qAZqtvQ (shorts) FAILED | delay=20s
[79/832] PE5GyJw8-hY (shorts) ok via tv_embedded | delay=16s
[80/832] BKZGqIiG6PI (shorts) ok via tv_embedded | delay=13s
[81/832] S87nJWjavrE (shorts) FAILED | delay=26s
[82/832] RV6Ur9OuxF8 (shorts) FAILED | delay=51s
[83/832] pFHy5h_735w (shorts) FAILED | delay=102s
[84/832] vZqg_qKHupU (shorts) FAILED | delay=205s
[85/832] ud6nvfJ8RME (shorts) FAILED | delay=410s
[86/832] FHIIH7bjAsw (shorts) ok via tv_embedded | delay=328s
832 YouTube items queued
[40/832] c8147zhVXRc (videos) FAILED | delay=30s
[51/832] nSbA8sEvzZw (videos) FAILED | delay=60s
[53/832] tFT6kstvYBw (streams) FAILED | delay=120s
[54/832] 68efHdhhY-Q (streams) FAILED | delay=240s
832 YouTube items queued
[40/832] c8147zhVXRc (videos) FAILED | delay=30s
[51/832] nSbA8sEvzZw (videos) FAILED | delay=60s
[53/832] tFT6kstvYBw (streams) FAILED | delay=120s
[54/832] 68efHdhhY-Q (streams) FAILED | delay=240s
832 YouTube items queued
[51/832] nSbA8sEvzZw (videos) FAILED | delay=30s
[53/832] tFT6kstvYBw (streams) FAILED | delay=60s
[54/832] 68efHdhhY-Q (streams) ok via android_vr | delay=48s
[57/832] 1gvJMYig9Ms (streams) ok via android_vr | delay=38s
[68/832] fGOKRbmIFJM (shorts) ok via tv_embedded | delay=19s
[69/832] 9IDLozyhKJU (shorts) ok via android_vr | delay=10s
[72/832] 5bFKrFCwbOI (shorts) ok via tv_embedded | delay=8s
[78/832] E3L9qAZqtvQ (shorts) ok via android_vr | delay=8s
[81/832] S87nJWjavrE (shorts) ok via tv_embedded | delay=8s
[82/832] RV6Ur9OuxF8 (shorts) ok via tv_embedded | delay=8s
[83/832] pFHy5h_735w (shorts) ok via android_vr | delay=8s
[84/832] vZqg_qKHupU (shorts) ok via tv_embedded | delay=8s
